schema_version,word_id,base_en,pos,difficulty,created_utc,en_word,zh_word,zh_tr,ja_word,ja_tr,es_word,fr_word
1,w_001,the,,A1,2025-05-30T00:00:00Z,the,的,de,その,sono,el/la,le/la
1,w_002,be,,A1,2025-05-30T00:00:00Z,be,是,shì,である,de aru,ser/estar,être
1,w_003,to,,A1,2025-05-30T00:00:00Z,to,到,dào,へ/に,e/ni,a,à
1,w_004,of,,A1,2025-05-30T00:00:00Z,of,的,de,の,no,de,de
1,w_005,and,,A1,2025-05-30T00:00:00Z,and,和,hé,と,to,y,et
1,w_006,a,,A1,2025-05-30T00:00:00Z,a,一个,yī gè,一つの,hitotsu no,un/una,un/une
1,w_007,in,,A1,2025-05-30T00:00:00Z,in,在,zài,中で,naka de,en,dans
1,w_008,that,,A1,2025-05-30T00:00:00Z,that,那,nà,その/あの,sono/ano,que/ese,que/celui-là
1,w_009,have,,A1,2025-05-30T00:00:00Z,have,有,yǒu,持つ,motsu,tener,avoir
1,w_010,I,,A1,2025-05-30T00:00:00Z,I,我,wǒ,私,watashi,yo,je
1,w_011,it,,A1,2025-05-30T00:00:00Z,it,它,tā,それ,sore,ello/eso,il/elle/cela
1,w_012,for,,A1,2025-05-30T00:00:00Z,for,为了,wèi le,のために,no tame ni,para,pour
1,w_013,not,,A1,2025-05-30T00:00:00Z,not,不是,bù shì,ない,nai,no,ne/pas
1,w_014,on,,A1,2025-05-30T00:00:00Z,on,在…上,zài ... shàng,上に,ue ni,en/sobre,sur
1,w_015,with,,A1,2025-05-30T00:00:00Z,with,和/与,hé/yǔ,と一緒に,to issho ni,con,avec
1,w_016,he,,A1,2025-05-30T00:00:00Z,he,他,tā,彼,kare,él,il
1,w_017,as,,A1,2025-05-30T00:00:00Z,as,如同,rú tóng,のように,no yō ni,como,comme
1,w_018,you,,A1,2025-05-30T00:00:00Z,you,你,nǐ,あなた,anata,tú/usted,tu/vous
1,w_019,do,,A1,2025-05-30T00:00:00Z,do,做,zuò,する,suru,hacer,faire
1,w_020,at,,A1,2025-05-30T00:00:00Z,at,在,zài,で,de,en/a,à
1,w_021,this,,A1,2025-05-30T00:00:00Z,this,这个,zhè ge,これ,kore,este/esta,ceci/cette
1,w_022,but,,A1,2025-05-30T00:00:00Z,but,但是,dàn shì,しかし,shikashi,pero,mais
1,w_023,his,,A1,2025-05-30T00:00:00Z,his,他的,tā de,彼の,kare no,su,son/sa
1,w_024,by,,A1,2025-05-30T00:00:00Z,by,通过,tōng guò,によって,ni yotte,por,par
1,w_025,from,,A1,2025-05-30T00:00:00Z,from,从,cóng,から,kara,de/desde,de/depuis
1,w_026,they,,A1,2025-05-30T00:00:00Z,they,他们,tā men,彼ら,karera,ellos,ils/elles
1,w_027,we,,A1,2025-05-30T00:00:00Z,we,我们,wǒ men,私たち,watashitachi,nosotros,nous
