schema_version,sentence_id,word_id,picture_id,base_en,base_audio_ms,en_sentence,zh_sentence,zh_tr,ja_sentence,ja_tr,es_sentence,fr_sentence
1,sent_001,w_001,,the,,The cat is on the mat.,猫在垫子上。,Māo zài diànzi shàng.,猫がマットの上にいる。,Neko ga matto no ue ni iru.,El gato está en la alfombra.,Le chat est sur le tapis.
1,sent_002,w_002,,be,,I want to be happy.,我想要快乐。,Wǒ xiǎng yào kuàilè.,私は幸せになりたい。,Watashi wa shiawase ni naritai.,Quiero ser feliz.,Je veux être heureux.
,sent_003,w_003,,to,,I want to go home.,我想回家。,Wǒ xiǎng huí jiā.,私は家に帰りたい。,Watashi wa ie ni kaeritai.,Quiero ir a casa.,Je veux rentrer à la maison.
,sent_004,w_004,,of,,This is a cup of tea.,这是一杯茶。,Zhè shì yì bēi chá.,これは一杯のお茶です。,Kore wa ippai no ocha desu.,Esto es una taza de té.,Ceci est une tasse de thé.
,sent_005,w_005,,and,,I like apples and bananas.,我喜欢苹果和香蕉。,Wǒ xǐhuān píngguǒ hé xiāngjiāo.,私はりんごとバナナが好きです。,Watashi wa ringo to banana ga suki desu.,Me gustan las manzanas y los plátanos.,J'aime les pommes et les bananes.
,sent_006,w_006,,a,,I have a dog.,我有一只狗。,Wǒ yǒu yì zhī gǒu.,私は犬を飼っています。,Watashi wa inu o katteimasu.,Tengo un perro.,J'ai un chien.
,sent_007,w_007,,in,,The ball is in the box.,球在盒子里。,Qiú zài hézi lǐ.,ボールは箱の中にあります。,Bōru wa hako no naka ni arimasu.,La pelota está en la caja.,La balle est dans la boîte.
,sent_008,w_008,,that,,I like that car.,我喜欢那辆车。,Wǒ xǐhuān nà liàng chē.,私はあの車が好きです。,Watashi wa ano kuruma ga suki desu.,Me gusta ese coche.,J'aime cette voiture.
,sent_009,w_009,,have,,I have a book.,我有一本书。,Wǒ yǒu yì běn shū.,私は本を持っています。,Watashi wa hon o motteimasu.,Tengo un libro.,J'ai un livre.
,sent_010,w_010,,I,,I am a student.,我是学生。,Wǒ shì xuéshēng.,私は学生です。,Watashi wa gakusei desu.,Soy estudiante.,Je suis étudiant(e).
,sent_011,w_011,,it,,It is cold today.,今天很冷。,Jīntiān hěn lěng.,今日は寒いです。,Kyō wa samui desu.,Hoy hace frío.,Il fait froid aujourd'hui.
,sent_012,w_012,,for,,This gift is for you.,这礼物给你。,Zhè lǐwù gěi nǐ.,このプレゼントはあなたに。,Kono purezento wa anata ni.,Este regalo es para ti.,Ce cadeau est pour toi.
,sent_013,w_013,,not,,I am not tired.,我不累。,Wǒ bù lèi.,私は疲れていません。,Watashi wa tsukarete imasen.,No estoy cansado/a.,Je ne suis pas fatigué(e).
