schema_version,sentence_id,word_id,picture_id,base_en,base_audio_ms,en_sentence,zh_sentence,zh_tr,ja_sentence,ja_tr,es_sentence,fr_sentence
1,sent_001,w_001,,Hello!,,I love you,???,w? ài n?,??????,w? ài n?,Te quiero,Je t'aime
1,sent_002,w_002,,food,,His hobby is painting,???????,t? de ài hào shì huà huà,?????????????,t? de ài hào shì huà huà,Su pasatiempo es pintar,Son hobby est la peinture
,sent_003,w_003,,eight,,I have eight books,?????,w? y?u b? b?n sh?,????8???????,w? y?u b? b?n sh?,Tengo ocho libros,J'ai huit livres
,sent_004,w_004,,dad,,Dad is working,?????,bà ba zài g?ng zuò,???????????,bà ba zài g?ng zuò,Papá está trabajando,Papa travaille
,sent_005,w_005,,Hello!,,Let's go,????,w? men z?u ba,??????,w? men z?u ba,Vamos,Allons-y
,sent_006,w_006,,food,,White flowers,????,bái sè de hu?,???,bái sè de hu?,Flores blancas,Fleurs blanches
,sent_007,w_007,,eight,,It is hot during the day,????,bái ti?n h?n rè,???????,bái ti?n h?n rè,Hace calor durante el día,Il fait chaud pendant la journée
,sent_008,w_008,,dad,,One hundred people,????,y? b?i gè rén,100?,y? b?i gè rén,Cien personas,Cent personnes
,sent_009,w_009,,Hello!,,Our class is big,?????,w? men b?n h?n dà,?????????????,w? men b?n h?n dà,Nuestra clase es grande,Notre classe est grande
,sent_010,w_010,,food,,Half an apple,????,bàn gè píng gu?,?????,bàn gè píng gu?,Media manzana,Une demi-pomme
,sent_011,w_011,,eight,,I have studied Chinese for half a year,???????,w? xué le bàn nián hàn y?,??????????????,w? xué le bàn nián hàn y?,He estudiado chino durante medio año,J'étudie le chinois depuis six mois
,sent_012,w_012,,dad,,I waited for half a day,?????,w? d?ng le bàn ti?n,???????,w? d?ng le bàn ti?n,Esperé medio día,J'ai attendu une demi-journée
,sent_013,w_013,,Hello!,,Please help me,?????,q?ng b?ng w? yí xià,???????,q?ng b?ng w? yí xià,"Por favor, ayúdame","S'il vous plaît, aidez-moi"
,sent_014,w_014,,food,,Thank you for your help,??????,xiè xiè n? de b?ng máng,??????????,xiè xiè n? de b?ng máng,Gracias por tu ayuda,Merci pour votre aide
,sent_015,w_015,,eight,,I bought a bag,??????,w? m?i le yí gè b?o,?????????,w? m?i le yí gè b?o,Compré una bolsa,J'ai acheté un sac
,sent_016,w_016,,dad,,I like to eat steamed buns,??????,w? x? hu?n ch? b?o zi,????????????????,w? x? hu?n ch? b?o zi,Me gusta comer bollos al vapor,J'aime manger des petits pains vapeur
,sent_017,w_017,,Hello!,,Give me a glass of water,?????,g?i w? yì b?i shu?,????????????,g?i w? yì b?i shu?,Dame un vaso de agua,Donne-moi un verre d'eau
,sent_018,w_018,,food,,The cup is on the table,??????,b?i zi zài zhu? zi shàng,???????????????,b?i zi zài zhu? zi shàng,La taza está en la mesa,La tasse est sur la table
,sent_019,w_019,,eight,,The north wind is cold,????,b?i f?ng h?n l?ng,????????,b?i f?ng h?n l?ng,El viento del norte es frío,Le vent du nord est froid
,sent_020,w_020,,dad,,The school is to the north,?????,xué xiào zài b?i bi?n,?????????,xué xiào zài b?i bi?n,La escuela está al norte,L'école est au nord
,sent_021,w_021,,Hello!,,I am going to Beijing for travel,??????,w? qù b?i j?ng l? yóu,????????????,w? qù b?i j?ng l? yóu,Voy a Pekín de viaje,Je vais à Pékin en voyage
